"행정구역(시군구)별","시점",총전입 (명),총전출 (명)
"종로구","2013",24676,30007
"종로구","2014",24191,27484
"종로구","2015",24951,27470
"종로구","2016",23604,26386
"종로구","2017",28020,25814
"종로구","2018",23187,24798
"종로구","2019",22271,23945
"종로구","2020",23632,25254
"종로구","2021",22204,24428
"종로구","2022",19123,20556
"중구","2013",19191,22508
"중구","2014",20105,22972
"중구","2015",20078,22950
"중구","2016",20595,21655
"중구","2017",20904,20574
"중구","2018",20771,20873
"중구","2019",19623,19384
"중구","2020",20777,21733
"중구","2021",19917,21126
"중구","2022",16738,17465
"용산구","2013",34935,39623
"용산구","2014",35618,40635
"용산구","2015",37064,41361
"용산구","2016",34124,38615
"용산구","2017",35154,36622
"용산구","2018",37339,37801
"용산구","2019",35099,35673
"용산구","2020",40282,38985
"용산구","2021",36011,39572
"용산구","2022",31046,32325
"성동구","2013",45399,47356
"성동구","2014",46521,51349
"성동구","2015",48105,49091
"성동구","2016",47629,46986
"성동구","2017",50416,46031
"성동구","2018",51358,49012
"성동구","2019",39922,48102
"성동구","2020",45153,53096
"성동구","2021",39831,46075
"성동구","2022",34138,38153
"광진구","2013",56235,60597
"광진구","2014",56778,64189
"광진구","2015",58871,63920
"광진구","2016",55362,60446
"광진구","2017",56010,56647
"광진구","2018",55728,58774
"광진구","2019",52191,57088
"광진구","2020",55926,60703
"광진구","2021",51522,56750
"광진구","2022",45983,47193
"동대문구","2013",56066,56084
"동대문구","2014",57915,59658
"동대문구","2015",55990,60917
"동대문구","2016",49591,55622
"동대문구","2017",47899,52733
"동대문구","2018",54899,57605
"동대문구","2019",51660,53660
"동대문구","2020",54908,58135
"동대문구","2021",48955,51031
"동대문구","2022",44531,43365
"중랑구","2013",61677,65539
"중랑구","2014",69157,68497
"중랑구","2015",64638,71284
"중랑구","2016",60566,64823
"중랑구","2017",56385,59947
"중랑구","2018",54168,59616
"중랑구","2019",49446,55932
"중랑구","2020",60214,62212
"중랑구","2021",52867,57957
"중랑구","2022",45183,45343
"성북구","2013",64081,71262
"성북구","2014",65082,76521
"성북구","2015",66804,76213
"성북구","2016",60000,70396
"성북구","2017",61285,68221
"성북구","2018",57147,65477
"성북구","2019",67841,61169
"성북구","2020",62953,68231
"성북구","2021",59054,62394
"성북구","2022",52764,50725
"강북구","2013",47329,52704
"강북구","2014",48224,52641
"강북구","2015",47491,52240
"강북구","2016",44791,48947
"강북구","2017",42231,44809
"강북구","2018",40941,45800
"강북구","2019",38046,42622
"강북구","2020",41625,46656
"강북구","2021",37057,42961
"강북구","2022",31243,34364
"도봉구","2013",47956,52619
"도봉구","2014",45658,51552
"도봉구","2015",48961,52460
"도봉구","2016",44836,48607
"도봉구","2017",40965,45260
"도봉구","2018",39518,44213
"도봉구","2019",35445,41225
"도봉구","2020",40435,47892
"도봉구","2021",36895,42682
"도봉구","2022",28791,32358
"노원구","2013",74362,83460
"노원구","2014",73503,83748
"노원구","2015",73528,83672
"노원구","2016",72249,81176
"노원구","2017",64406,78488
"노원구","2018",61867,72748
"노원구","2019",57183,68095
"노원구","2020",68176,77707
"노원구","2021",58736,68473
"노원구","2022",48607,53482
"은평구","2013",77427,77311
"은평구","2014",73950,80850
"은평구","2015",82375,85329
"은평구","2016",74864,82925
"은평구","2017",68402,73637
"은평구","2018",67489,71519
"은평구","2019",69399,72721
"은평구","2020",76364,76165
"은평구","2021",63269,66951
"은평구","2022",55986,59509
"서대문구","2013",47645,49668
"서대문구","2014",45088,49817
"서대문구","2015",55729,55165
"서대문구","2016",55152,54236
"서대문구","2017",48534,50286
"서대문구","2018",45861,48484
"서대문구","2019",45729,46677
"서대문구","2020",56504,53579
"서대문구","2021",42484,47061
"서대문구","2022",43478,39904
"마포구","2013",60331,65135
"마포구","2014",68853,67146
"마포구","2015",71484,72254
"마포구","2016",62642,72793
"마포구","2017",57490,63689
"마포구","2018",60227,61071
"마포구","2019",57766,59573
"마포구","2020",66215,68667
"마포구","2021",61543,62124
"마포구","2022",49721,52169
"양천구","2013",63005,68505
"양천구","2014",62502,70772
"양천구","2015",66589,70624
"양천구","2016",65385,74404
"양천구","2017",54797,62729
"양천구","2018",54579,62414
"양천구","2019",50256,56733
"양천구","2020",64081,68021
"양천구","2021",54952,60442
"양천구","2022",44539,49292
"강서구","2013",84702,86246
"강서구","2014",109436,96548
"강서구","2015",94604,94501
"강서구","2016",95852,93011
"강서구","2017",90217,86483
"강서구","2018",83699,90281
"강서구","2019",78518,85057
"강서구","2020",87198,99573
"강서구","2021",87269,91368
"강서구","2022",70228,73672
"구로구","2013",56381,62188
"구로구","2014",62804,65025
"구로구","2015",57099,64052
"구로구","2016",54368,61558
"구로구","2017",50077,58672
"구로구","2018",51108,58543
"구로구","2019",54791,53666
"구로구","2020",60885,64024
"구로구","2021",48170,54880
"구로구","2022",44870,45359
"금천구","2013",34966,38174
"금천구","2014",33510,37071
"금천구","2015",34056,37303
"금천구","2016",34870,36528
"금천구","2017",34230,34907
"금천구","2018",33794,35508
"금천구","2019",32416,33728
"금천구","2020",35753,36963
"금천구","2021",35663,35047
"금천구","2022",30153,30370
"영등포구","2013",57690,65125
"영등포구","2014",59057,65662
"영등포구","2015",58936,65678
"영등포구","2016",61308,71785
"영등포구","2017",62622,66039
"영등포구","2018",59862,62108
"영등포구","2019",56874,58253
"영등포구","2020",79309,68526
"영등포구","2021",60565,61108
"영등포구","2022",53661,53953
"동작구","2013",70907,67868
"동작구","2014",63291,69117
"동작구","2015",66694,76096
"동작구","2016",66425,68243
"동작구","2017",60949,66978
"동작구","2018",65099,66105
"동작구","2019",61168,62047
"동작구","2020",64496,69650
"동작구","2021",64257,68311
"동작구","2022",53359,56607
"관악구","2013",89789,97304
"관악구","2014",90987,98182
"관악구","2015",94590,100724
"관악구","2016",91198,96179
"관악구","2017",90303,94943
"관악구","2018",94403,96477
"관악구","2019",93583,95788
"관악구","2020",98301,103226
"관악구","2021",89756,95711
