"행정구역별(1)","행정구역별(2)",시점,등록외국인<br>(A),주민등록인구<br>(B)
"서울특별시","종로구",2013,7797,160070
"서울특별시","종로구",2014,8351,156993
"서울특별시","종로구",2015,8836,154986
"서울특별시","종로구",2016,9185,152737
"서울특별시","종로구",2017,9487,154770
"서울특별시","종로구",2018,9961,153065
"서울특별시","종로구",2019,10579,151290
"서울특별시","종로구",2020,9612,149384
"서울특별시","종로구",2021,9106,144683
"서울특별시","중구",2013,7525,130465
"서울특별시","중구",2014,8162,128065
"서울특별시","중구",2015,8596,125733
"서울특별시","중구",2016,9160,125249
"서울특별시","중구",2017,8884,125709
"서울특별시","중구",2018,9908,125725
"서울특별시","중구",2019,10317,126171
"서울특별시","중구",2020,9395,125240
"서울특별시","중구",2021,9288,122499
"서울특별시","용산구",2013,12185,239740
"서울특별시","용산구",2014,13963,235951
"서울특별시","용산구",2015,14567,233342
"서울특별시","용산구",2016,14861,230241
"서울특별시","용산구",2017,15283,229161
"서울특별시","용산구",2018,16091,228999
"서울특별시","용산구",2019,16515,228670
"서울특별시","용산구",2020,14605,230040
"서울특별시","용산구",2021,14332,222953
"서울특별시","성동구",2013,7234,299337
"서울특별시","성동구",2014,7805,296086
"서울특별시","성동구",2015,8062,297003
"서울특별시","성동구",2016,7902,299259
"서울특별시","성동구",2017,7903,304808
"서울특별시","성동구",2018,8242,308221
"서울특별시","성동구",2019,8090,300889
"서울특별시","성동구",2020,6949,293556
"서울특별시","성동구",2021,6682,285990
"서울특별시","광진구",2013,12512,368927
"서울특별시","광진구",2014,14021,363354
"서울특별시","광진구",2015,14811,360369
"서울특별시","광진구",2016,14889,357215
"서울특별시","광진구",2017,14595,357703
"서울특별시","광진구",2018,15504,355559
"서울특별시","광진구",2019,15622,351350
"서울특별시","광진구",2020,13427,346682
"서울특별시","광진구",2021,12631,339996
"서울특별시","동대문구",2013,12172,364273
"서울특별시","동대문구",2014,12632,363687
"서울특별시","동대문구",2015,13671,360153
"서울특별시","동대문구",2016,15243,355069
"서울특별시","동대문구",2017,15364,350647
"서울특별시","동대문구",2018,16286,348052
"서울특별시","동대문구",2019,16829,346194
"서울특별시","동대문구",2020,14177,342837
"서울특별시","동대문구",2021,14606,337400
"서울특별시","중랑구",2013,4439,416798
"서울특별시","중랑구",2014,4575,418836
"서울특별시","중랑구",2015,4711,413909
"서울특별시","중랑구",2016,4672,411005
"서울특별시","중랑구",2017,4554,408226
"서울특별시","중랑구",2018,4938,403209
"서울특별시","중랑구",2019,5009,397015
"서울특별시","중랑구",2020,4860,394702
"서울특별시","중랑구",2021,4535,387350
"서울특별시","성북구",2013,8758,476589
"서울특별시","성북구",2014,9255,466706
"서울특별시","성북구",2015,10285,459275
"서울특별시","성북구",2016,11262,450355
"서울특별시","성북구",2017,11352,444055
"서울특별시","성북구",2018,11819,435868
"서울특별시","성북구",2019,12094,442650
"서울특별시","성북구",2020,9903,437153
"서울특별시","성북구",2021,9614,430528
"서울특별시","강북구",2013,3214,338707
"서울특별시","강북구",2014,3385,335025
"서울특별시","강북구",2015,3553,330873
"서울특별시","강북구",2016,3509,327195
"서울특별시","강북구",2017,3523,324479
"서울특별시","강북구",2018,3751,319164
"서울특별시","강북구",2019,3741,313954
"서울특별시","강북구",2020,3514,308055
"서울특별시","강북구",2021,3381,299182
"서울특별시","도봉구",2013,2027,358582
"서울특별시","도봉구",2014,2003,353709
"서울특별시","도봉구",2015,1999,351242
"서울특별시","도봉구",2016,2052,348220
"서울특별시","도봉구",2017,2068,344166
"서울특별시","도봉구",2018,2236,339413
"서울특별시","도봉구",2019,2269,333362
"서울특별시","도봉구",2020,2104,325257
"서울특별시","도봉구",2021,2007,317366
"서울특별시","노원구",2013,3548,590479
"서울특별시","노원구",2014,3504,582552
"서울특별시","노원구",2015,3638,574583
"서울특별시","노원구",2016,3631,567581
"서울특별시","노원구",2017,3672,554403
"서울특별시","노원구",2018,4408,543752
"서울특별시","노원구",2019,4398,532905
"서울특별시","노원구",2020,3995,523037
"서울특별시","노원구",2021,3990,510956
"서울특별시","은평구",2013,4451,503660
"서울특별시","은평구",2014,4599,498644
"서울특별시","은평구",2015,4658,497920
"서울특별시","은평구",2016,4461,491476
"서울특별시","은평구",2017,4408,486794
"서울특별시","은평구",2018,4469,483197
"서울특별시","은평구",2019,4514,480032
"서울특별시","은평구",2020,4208,479835
"서울특별시","은평구",2021,3866,473307
"서울특별시","서대문구",2013,9957,314110
"서울특별시","서대문구",2014,10485,310376
"서울특별시","서대문구",2015,10964,312141
"서울특별시","서대문구",2016,11677,314194
"서울특별시","서대문구",2017,12228,312800
"서울특별시","서대문구",2018,12767,310313
"서울특별시","서대문구",2019,13774,309397
"서울특별시","서대문구",2020,10779,312173
"서울특별시","서대문구",2021,10840,304819
"서울특별시","마포구",2013,9242,381856
"서울특별시","마포구",2014,10391,385439
"서울특별시","마포구",2015,10708,387643
"서울특별시","마포구",2016,10995,379892
"서울특별시","마포구",2017,10868,374915
"서울특별시","마포구",2018,11282,375077
"서울특별시","마포구",2019,11890,374035
"서울특별시","마포구",2020,9968,371890
"서울특별시","마포구",2021,9781,368905
"서울특별시","양천구",2013,4406,492528
"서울특별시","양천구",2014,4487,486221
