"행정구역별","시점",데이터
"종로구","2013",14
"종로구","2014",14
"종로구","2015",14
"종로구","2016",13
"종로구","2017",13
"종로구","2018",13
"종로구","2019",13
"종로구","2020",13
"종로구","2021",13
"종로구","2022",13
"중구","2013",12
"중구","2014",12
"중구","2015",12
"중구","2016",12
"중구","2017",12
"중구","2018",12
"중구","2019",12
"중구","2020",12
"중구","2021",12
"중구","2022",12
"용산구","2013",15
"용산구","2014",15
"용산구","2015",15
"용산구","2016",15
"용산구","2017",15
"용산구","2018",15
"용산구","2019",15
"용산구","2020",15
"용산구","2021",15
"용산구","2022",15
"성동구","2013",20
"성동구","2014",20
"성동구","2015",20
"성동구","2016",21
"성동구","2017",21
"성동구","2018",21
"성동구","2019",21
"성동구","2020",21
"성동구","2021",21
"성동구","2022",21
"광진구","2013",22
"광진구","2014",22
"광진구","2015",22
"광진구","2016",22
"광진구","2017",22
"광진구","2018",22
"광진구","2019",22
"광진구","2020",22
"광진구","2021",22
"광진구","2022",22
"동대문구","2013",21
"동대문구","2014",21
"동대문구","2015",21
"동대문구","2016",21
"동대문구","2017",21
"동대문구","2018",21
"동대문구","2019",21
"동대문구","2020",21
"동대문구","2021",21
"동대문구","2022",21
"중랑구","2013",22
"중랑구","2014",23
"중랑구","2015",23
"중랑구","2016",23
"중랑구","2017",23
"중랑구","2018",23
"중랑구","2019",23
"중랑구","2020",23
"중랑구","2021",23
"중랑구","2022",24
"성북구","2013",29
"성북구","2014",29
"성북구","2015",29
"성북구","2016",29
"성북구","2017",29
"성북구","2018",29
"성북구","2019",29
"성북구","2020",29
"성북구","2021",29
"성북구","2022",29
"강북구","2013",14
"강북구","2014",14
"강북구","2015",14
"강북구","2016",14
"강북구","2017",14
"강북구","2018",14
"강북구","2019",14
"강북구","2020",14
"강북구","2021",14
"강북구","2022",14
"도봉구","2013",23
"도봉구","2014",23
"도봉구","2015",23
"도봉구","2016",23
"도봉구","2017",23
"도봉구","2018",23
"도봉구","2019",23
"도봉구","2020",23
"도봉구","2021",23
"도봉구","2022",23
"노원구","2013",42
"노원구","2014",42
"노원구","2015",42
"노원구","2016",42
"노원구","2017",42
"노원구","2018",42
"노원구","2019",42
"노원구","2020",42
"노원구","2021",42
"노원구","2022",42
"은평구","2013",31
"은평구","2014",31
"은평구","2015",30
"은평구","2016",30
"은평구","2017",30
"은평구","2018",30
"은평구","2019",31
"은평구","2020",31
"은평구","2021",30
"은평구","2022",30
"서대문구","2013",18
"서대문구","2014",18
"서대문구","2015",18
"서대문구","2016",19
"서대문구","2017",19
"서대문구","2018",19
"서대문구","2019",19
"서대문구","2020",19
"서대문구","2021",19
"서대문구","2022",19
"마포구","2013",22
"마포구","2014",22
"마포구","2015",22
"마포구","2016",22
"마포구","2017",22
"마포구","2018",22
"마포구","2019",22
"마포구","2020",22
"마포구","2021",22
"마포구","2022",22
"양천구","2013",30
"양천구","2014",30
"양천구","2015",30
"양천구","2016",30
"양천구","2017",30
"양천구","2018",30
"양천구","2019",30
"양천구","2020",30
"양천구","2021",30
"양천구","2022",30
"강서구","2013",36
"강서구","2014",36
"강서구","2015",36
"강서구","2016",36
"강서구","2017",36
"강서구","2018",36
"강서구","2019",36
"강서구","2020",35
"강서구","2021",35
"강서구","2022",35
"구로구","2013",24
"구로구","2014",24
"구로구","2015",24
"구로구","2016",24
"구로구","2017",24
"구로구","2018",24
"구로구","2019",26
"구로구","2020",26
"구로구","2021",26
"구로구","2022",26
"금천구","2013",18
"금천구","2014",18
"금천구","2015",17
"금천구","2016",17
"금천구","2017",18
"금천구","2018",18
"금천구","2019",18
"금천구","2020",18
"금천구","2021",18
"금천구","2022",18
"영등포구","2013",23
"영등포구","2014",23
"영등포구","2015",23
"영등포구","2016",23
"영등포구","2017",23
"영등포구","2018",23
"영등포구","2019",23
"영등포구","2020",23
"영등포구","2021",23
"영등포구","2022",23
"동작구","2013",21
"동작구","2014",21
"동작구","2015",21
"동작구","2016",21
"동작구","2017",21
"동작구","2018",21
"동작구","2019",21
"동작구","2020",21
"동작구","2021",21
"동작구","2022",21
"관악구","2013",22
"관악구","2014",22
"관악구","2015",22
"관악구","2016",22
"관악구","2017",22
"관악구","2018",22
"관악구","2019",22
"관악구","2020",22
"관악구","2021",22
"관악구","2022",22
"서초구","2013",24
"서초구","2014",24
"서초구","2015",24
"서초구","2016",24
"서초구","2017",24
"서초구","2018",24
"서초구","2019",24
"서초구","2020",24
"서초구","2021",24
"서초구","2022",24
"강남구","2013",31
"강남구","2014",31
"강남구","2015",33
"강남구","2016",33
"강남구","2017",33
"강남구","2018",33
"강남구","2019",33
"강남구","2020",33
"강남구","2021",33
"강남구","2022",33
"송파구","2013",37
"송파구","2014",38
"송파구","2015",38
"송파구","2016",39
"송파구","2017",39
"송파구","2018",39
"송파구","2019",40
"송파구","2020",40
"송파구","2021",40
"송파구","2022",41
"강동구","2013",26
"강동구","2014",26
"강동구","2015",26
"강동구","2016",26
"강동구","2017",27
"강동구","2018",27
"강동구","2019",27
"강동구","2020",28
"강동구","2021",29
"강동구","2022",29
