"시군구별","시점",계 (명)
"종로구","2013",873
"종로구","2014",905
"종로구","2015",906
"종로구","2016",846
"종로구","2017",689
"종로구","2018",644
"종로구","2019",673
"종로구","2020",529
"종로구","2021",528
"중구","2013",1022
"중구","2014",1041
"중구","2015",950
"중구","2016",959
"중구","2017",808
"중구","2018",733
"중구","2019",783
"중구","2020",690
"중구","2021",627
"용산구","2013",2129
"용산구","2014",1976
"용산구","2015",1967
"용산구","2016",1708
"용산구","2017",1464
"용산구","2018",1377
"용산구","2019",1314
"용산구","2020",1176
"용산구","2021",1234
"성동구","2013",2838
"성동구","2014",2654
"성동구","2015",2753
"성동구","2016",2531
"성동구","2017",2462
"성동구","2018",2346
"성동구","2019",2191
"성동구","2020",1945
"성동구","2021",1833
"광진구","2013",2990
"광진구","2014",3011
"광진구","2015",2951
"광진구","2016",2767
"광진구","2017",2347
"광진구","2018",2197
"광진구","2019",1957
"광진구","2020",1532
"광진구","2021",1484
"동대문구","2013",2651
"동대문구","2014",2634
"동대문구","2015",2687
"동대문구","2016",2383
"동대문구","2017",2117
"동대문구","2018",1886
"동대문구","2019",1884
"동대문구","2020",1702
"동대문구","2021",1585
"중랑구","2013",3265
"중랑구","2014",3288
"중랑구","2015",3368
"중랑구","2016",3085
"중랑구","2017",2744
"중랑구","2018",2446
"중랑구","2019",2244
"중랑구","2020",1873
"중랑구","2021",1825
"성북구","2013",3831
"성북구","2014",3537
"성북구","2015",3514
"성북구","2016",3060
"성북구","2017",2631
"성북구","2018",2264
"성북구","2019",2147
"성북구","2020",2041
"성북구","2021",1939
"강북구","2013",2491
"강북구","2014",2360
"강북구","2015",2164
"강북구","2016",1965
"강북구","2017",1772
"강북구","2018",1344
"강북구","2019",1227
"강북구","2020",1049
"강북구","2021",994
"도봉구","2013",2530
"도봉구","2014",2553
"도봉구","2015",2481
"도봉구","2016",2249
"도봉구","2017",1906
"도봉구","2018",1707
"도봉구","2019",1483
"도봉구","2020",1218
"도봉구","2021",1136
"노원구","2013",4668
"노원구","2014",4715
"노원구","2015",4462
"노원구","2016",4176
"노원구","2017",3494
"노원구","2018",2851
"노원구","2019",2604
"노원구","2020",2252
"노원구","2021",2225
"은평구","2013",4157
"은평구","2014",4085
"은평구","2015",3870
"은평구","2016",3522
"은평구","2017",2930
"은평구","2018",2703
"은평구","2019",2407
"은평구","2020",2144
"은평구","2021",2076
"서대문구","2013",2358
"서대문구","2014",2334
"서대문구","2015",2175
"서대문구","2016",2201
"서대문구","2017",1911
"서대문구","2018",1647
"서대문구","2019",1521
"서대문구","2020",1533
"서대문구","2021",1426
"마포구","2013",3320
"마포구","2014",3373
"마포구","2015",3626
"마포구","2016",3392
"마포구","2017",2812
"마포구","2018",2528
"마포구","2019",2334
"마포구","2020",2015
"마포구","2021",1959
"양천구","2013",3547
"양천구","2014",3527
"양천구","2015",3526
"양천구","2016",3334
"양천구","2017",2876
"양천구","2018",2387
"양천구","2019",2222
"양천구","2020",1875
"양천구","2021",1827
"강서구","2013",5224
"강서구","2014",5424
"강서구","2015",5812
"강서구","2016",5456
"강서구","2017",4800
"강서구","2018",4260
"강서구","2019",3841
"강서구","2020",3345
"강서구","2021",3006
"구로구","2013",4468
"구로구","2014",4279
"구로구","2015",4257
"구로구","2016",3736
"구로구","2017",3139
"구로구","2018",2658
"구로구","2019",2460
"구로구","2020",2269
"구로구","2021",2229
"금천구","2013",1739
"금천구","2014",1820
"금천구","2015",1885
"금천구","2016",1595
"금천구","2017",1498
"금천구","2018",1314
"금천구","2019",1154
"금천구","2020",1092
"금천구","2021",1012
"영등포구","2013",3448
"영등포구","2014",3480
"영등포구","2015",3611
"영등포구","2016",3282
"영등포구","2017",2805
"영등포구","2018",2698
"영등포구","2019",2633
"영등포구","2020",2296
"영등포구","2021",2402
"동작구","2013",3712
"동작구","2014",3765
"동작구","2015",3643
"동작구","2016",3184
"동작구","2017",2814
"동작구","2018",2417
"동작구","2019",2227
"동작구","2020",2044
"동작구","2021",1831
"관악구","2013",4140
"관악구","2014",4071
"관악구","2015",3960
"관악구","2016",3561
"관악구","2017",2931
"관악구","2018",2582
"관악구","2019",2245
"관악구","2020",1905
"관악구","2021",1707
"서초구","2013",4081
"서초구","2014",4135
"서초구","2015",4078
"서초구","2016",3629
"서초구","2017",3039
"서초구","2018",2919
"서초구","2019",2512
"서초구","2020",2238
"서초구","2021",2163
"강남구","2013",4551
"강남구","2014",4654
"강남구","2015",4595
"강남구","2016",4122
"강남구","2017",3456
"강남구","2018",2940
"강남구","2019",2749
"강남구","2020",2356
"강남구","2021",2204
"송파구","2013",5963
"송파구","2014",6001
"송파구","2015",5899
"송파구","2016",5500
"송파구","2017",4976
"송파구","2018",4567
"송파구","2019",4424
"송파구","2020",3791
"송파구","2021",3469
"강동구","2013",4070
"강동구","2014",4089
"강동구","2015",3865
"강동구","2016",3293
"강동구","2017",2968
"강동구","2018",2659
"강동구","2019",2437
"강동구","2020",2535
"강동구","2021",2810
