시군구,년도,전입인구,전출인구,등록외국인,주민등록인구,출생아수,산부인과의원수,소아청소년과의원수,문화기반시설수
종로구,2013,24676,30007,7797,160070,873,9,4,57
종로구,2014,24191,27484,8351,156993,905,9,4,59
종로구,2015,24951,27470,8836,154986,906,9,4,61
종로구,2016,23604,26386,9185,152737,846,9,4,64
종로구,2017,28020,25814,9487,154770,689,9,4,64
종로구,2018,23187,24798,9961,153065,644,9,4,63
종로구,2019,22271,23945,10579,151290,673,8,4,64
종로구,2020,23632,25254,9612,149384,529,9,4,66
종로구,2021,22204,24428,9106,144683,528,11,4,68
중구,2013,19191,22508,7525,130465,1022,8,4,23
중구,2014,20105,22972,8162,128065,1041,8,3,23
중구,2015,20078,22950,8596,125733,950,9,4,24
중구,2016,20595,21655,9160,125249,959,8,5,24
중구,2017,20904,20574,8884,125709,808,9,5,24
중구,2018,20771,20873,9908,125725,733,10,5,24
중구,2019,19623,19384,10317,126171,783,10,5,25
중구,2020,20777,21733,9395,125240,690,9,5,27
중구,2021,19917,21126,9288,122499,627,9,5,30
용산구,2013,34935,39623,12185,239740,2129,7,9,13
용산구,2014,35618,40635,13963,235951,1976,7,10,14
용산구,2015,37064,41361,14567,233342,1967,8,10,14
용산구,2016,34124,38615,14861,230241,1708,8,9,14
용산구,2017,35154,36622,15283,229161,1464,7,9,16
용산구,2018,37339,37801,16091,228999,1377,8,9,18
용산구,2019,35099,35673,16515,228670,1314,8,9,18
용산구,2020,40282,38985,14605,230040,1176,8,9,18
용산구,2021,36011,39572,14332,222953,1234,9,9,17
성동구,2013,45399,47356,7234,299337,2838,11,19,10
성동구,2014,46521,51349,7805,296086,2654,10,19,11
성동구,2015,48105,49091,8062,297003,2753,10,20,14
성동구,2016,47629,46986,7902,299259,2531,8,20,14
성동구,2017,50416,46031,7903,304808,2462,8,23,14
성동구,2018,51358,49012,8242,308221,2346,9,23,14
성동구,2019,39922,48102,8090,300889,2191,10,25,14
성동구,2020,45153,53096,6949,293556,1945,10,22,15
성동구,2021,39831,46075,6682,285990,1833,10,20,15
광진구,2013,56235,60597,12512,368927,2990,15,21,9
광진구,2014,56778,64189,14021,363354,3011,14,21,10
광진구,2015,58871,63920,14811,360369,2951,14,21,9
광진구,2016,55362,60446,14889,357215,2767,14,20,9
광진구,2017,56010,56647,14595,357703,2347,14,20,9
광진구,2018,55728,58774,15504,355559,2197,14,20,9
광진구,2019,52191,57088,15622,351350,1957,13,19,9
광진구,2020,55926,60703,13427,346682,1532,13,19,11
광진구,2021,51522,56750,12631,339996,1484,12,18,11
동대문구,2013,56066,56084,12172,364273,2651,15,16,10
동대문구,2014,57915,59658,12632,363687,2634,16,16,12
동대문구,2015,55990,60917,13671,360153,2687,15,16,12
동대문구,2016,49591,55622,15243,355069,2383,17,17,10
동대문구,2017,47899,52733,15364,350647,2117,17,17,10
동대문구,2018,54899,57605,16286,348052,1886,18,17,10
동대문구,2019,51660,53660,16829,346194,1884,17,17,11
동대문구,2020,54908,58135,14177,342837,1702,15,15,12
동대문구,2021,48955,51031,14606,337400,1585,15,16,12
중랑구,2013,61677,65539,4439,416798,3265,14,19,4
중랑구,2014,69157,68497,4575,418836,3288,13,19,4
중랑구,2015,64638,71284,4711,413909,3368,12,20,4
중랑구,2016,60566,64823,4672,411005,3085,11,19,4
중랑구,2017,56385,59947,4554,408226,2744,11,19,4
중랑구,2018,54168,59616,4938,403209,2446,11,18,5
중랑구,2019,49446,55932,5009,397015,2244,10,18,6
중랑구,2020,60214,62212,4860,394702,1873,9,17,6
중랑구,2021,52867,57957,4535,387350,1825,9,16,6
성북구,2013,64081,71262,8758,476589,3831,15,25,13
성북구,2014,65082,76521,9255,466706,3537,14,24,15
성북구,2015,66804,76213,10285,459275,3514,14,21,16
성북구,2016,60000,70396,11262,450355,3060,16,21,16
성북구,2017,61285,68221,11352,444055,2631,14,19,19
성북구,2018,57147,65477,11819,435868,2264,13,19,20
성북구,2019,67841,61169,12094,442650,2147,13,19,23
성북구,2020,62953,68231,9903,437153,2041,12,20,24
