시군구,년도,전출인구,출생아수,산부인과의원수,초등학교수,cluster_id,pred_cluster
종로구,2013,30007,873,9,14,1.0,0.969257663705784
종로구,2014,27484,905,9,14,1.0,1.004041010371882
종로구,2015,27470,906,9,14,1.0,1.0042302076494145
종로구,2016,26386,846,9,13,1.0,1.0179941419548224
종로구,2017,25814,689,9,13,1.0,1.0266416988205942
종로구,2018,24798,644,9,13,1.0,1.0409172139148661
종로구,2019,23945,673,8,13,1.0,1.0521278343566312
종로구,2020,25254,529,9,13,1.0,1.035137023378372
종로구,2021,24428,528,11,13,1.0,1.0475078078362607
중구,2013,22508,1022,8,12,1.0,1.0688825643163709
중구,2014,22972,1041,8,12,1.0,1.0623702308241414
중구,2015,22950,950,9,12,1.0,1.0635617675548135
중구,2016,21655,959,8,12,1.0,1.0809847616713812
중구,2017,20574,808,9,12,1.0,1.0971167196574925
중구,2018,20873,733,10,12,1.0,1.0937897147983913
중구,2019,19384,783,10,12,1.0,1.1141735341720802
중구,2020,21733,690,9,12,1.0,1.0816171824296423
중구,2021,21126,627,9,12,1.0,1.090313431682906
용산구,2013,39623,2129,7,15,1.0,0.8308895134869312
용산구,2014,40635,1976,7,15,1.0,0.817587538784521
용산구,2015,41361,1967,8,15,1.0,0.8080425303179284
용산구,2016,38615,1708,8,15,1.0,0.8472627984627548
용산구,2017,36622,1464,7,15,1.0,0.8755230275075382
용산구,2018,37801,1377,8,15,1.0,0.8600677892674633
용산구,2019,35673,1314,8,15,1.0,0.8898227664181126
용산구,2020,38985,1176,8,15,1.0,0.8446070039868827
용산구,2021,39572,1234,9,15,1.0,0.8366758044430314
성동구,2013,47356,2838,11,20,0.67,0.7300088512875391
성동구,2014,51349,2654,10,20,0.67,0.6751127798195404
성동구,2015,49091,2753,10,20,0.67,0.7059164271437224
성동구,2016,46986,2531,8,21,0.67,0.7366829764307478
성동구,2017,46031,2462,8,21,0.67,0.7502252191731037
성동구,2018,49012,2346,9,21,0.67,0.7099551966730486
성동구,2019,48102,2191,10,21,0.67,0.7237381540380508
성동구,2020,53096,1945,10,21,0.67,0.6557353816605633
성동구,2021,46075,1833,10,21,0.67,0.7534627184708428
광진구,2013,60597,2990,15,22,0.67,0.5508832228856805
광진구,2014,64189,3011,14,22,0.33,0.5005885044369877
광진구,2015,63920,2951,14,22,0.33,0.5045911248778739
광진구,2016,60446,2767,14,22,0.67,0.5535429966068932
광진구,2017,56647,2347,14,22,0.67,0.60808896799776
광진구,2018,58774,2197,14,22,0.67,0.5793355527957479
광진구,2019,57088,1957,13,22,0.67,0.6033267207029617
광진구,2020,60703,1532,13,22,0.67,0.5552466940832865
광진구,2021,56750,1484,12,22,0.67,0.6097348606148004
동대문구,2013,56084,2651,15,21,0.67,0.6134165205250305
동대문구,2014,59658,2634,16,21,0.67,0.5644771451943602
동대문구,2015,60917,2687,15,21,0.67,0.546335163089278
동대문구,2016,55622,2383,17,21,0.67,0.6219857330821328
동대문구,2017,52733,2117,17,21,0.67,0.6632183417985449
동대문구,2018,57605,1886,18,21,0.67,0.5973000981684728
동대문구,2019,53660,1884,17,21,0.67,0.6514641924651022
동대문구,2020,58135,1702,15,21,0.67,0.589420446110648
동대문구,2021,51031,1585,15,21,0.67,0.6883201301087419
중랑구,2013,65539,3265,14,22,0.33,0.4807194853401119
중랑구,2014,68497,3288,13,23,0.33,0.4407160437306704
중랑구,2015,71284,3368,12,23,0.33,0.4012932129891704
중랑구,2016,64823,3085,11,23,0.33,0.49159517008888043
중랑구,2017,59947,2744,11,23,0.67,0.5606862121976951
중랑구,2018,59616,2446,11,23,0.67,0.566650888135972
중랑구,2019,55932,2244,10,23,0.67,0.6181287880250325
중랑구,2020,62212,1873,9,23,0.67,0.5324356257465861
중랑구,2021,57957,1825,9,23,0.67,0.5915700356823711
성북구,2013,71262,3831,15,29,0.33,0.4099813934151276
성북구,2014,76521,3537,14,29,0.33,0.3380672384099346
성북구,2015,76213,3514,14,29,0.33,0.3424382510433568
성북구,2016,70396,3060,16,29,0.33,0.426011651856668
성북구,2017,68221,2631,14,29,0.33,0.4571846471080232
성북구,2018,65477,2264,13,29,0.33,0.4964130811611098
성북구,2019,61169,2147,13,29,0.67,0.5566012574661793
