"행정구역별","시점",문화기반시설수<br>(A) (개)
"종로구","2013",57
"종로구","2014",59
"종로구","2015",61
"종로구","2016",64
"종로구","2017",64
"종로구","2018",63
"종로구","2019",64
"종로구","2020",66
"종로구","2021",68
"중구","2013",23
"중구","2014",23
"중구","2015",24
"중구","2016",24
"중구","2017",24
"중구","2018",24
"중구","2019",25
"중구","2020",27
"중구","2021",30
"용산구","2013",13
"용산구","2014",14
"용산구","2015",14
"용산구","2016",14
"용산구","2017",16
"용산구","2018",18
"용산구","2019",18
"용산구","2020",18
"용산구","2021",17
"성동구","2013",10
"성동구","2014",11
"성동구","2015",14
"성동구","2016",14
"성동구","2017",14
"성동구","2018",14
"성동구","2019",14
"성동구","2020",15
"성동구","2021",15
"광진구","2013",9
"광진구","2014",10
"광진구","2015",9
"광진구","2016",9
"광진구","2017",9
"광진구","2018",9
"광진구","2019",9
"광진구","2020",11
"광진구","2021",11
"동대문구","2013",10
"동대문구","2014",12
"동대문구","2015",12
"동대문구","2016",10
"동대문구","2017",10
"동대문구","2018",10
"동대문구","2019",11
"동대문구","2020",12
"동대문구","2021",12
"중랑구","2013",4
"중랑구","2014",4
"중랑구","2015",4
"중랑구","2016",4
"중랑구","2017",4
"중랑구","2018",5
"중랑구","2019",6
"중랑구","2020",6
"중랑구","2021",6
"성북구","2013",13
"성북구","2014",15
"성북구","2015",16
"성북구","2016",16
"성북구","2017",19
"성북구","2018",20
"성북구","2019",23
"성북구","2020",24
"성북구","2021",25
"강북구","2013",9
"강북구","2014",11
"강북구","2015",9
"강북구","2016",11
"강북구","2017",12
"강북구","2018",12
"강북구","2019",12
"강북구","2020",12
"강북구","2021",12
"도봉구","2013",8
"도봉구","2014",8
"도봉구","2015",10
"도봉구","2016",12
"도봉구","2017",12
"도봉구","2018",10
"도봉구","2019",11
"도봉구","2020",11
"도봉구","2021",12
"노원구","2013",14
"노원구","2014",14
"노원구","2015",15
"노원구","2016",14
"노원구","2017",15
"노원구","2018",19
"노원구","2019",19
"노원구","2020",21
"노원구","2021",22
"은평구","2013",7
"은평구","2014",9
"은평구","2015",12
"은평구","2016",12
"은평구","2017",12
"은평구","2018",14
"은평구","2019",16
"은평구","2020",16
"은평구","2021",16
"서대문구","2013",12
"서대문구","2014",13
"서대문구","2015",14
"서대문구","2016",13
"서대문구","2017",13
"서대문구","2018",13
"서대문구","2019",13
"서대문구","2020",14
"서대문구","2021",14
"마포구","2013",10
"마포구","2014",11
"마포구","2015",11
"마포구","2016",12
"마포구","2017",14
"마포구","2018",14
"마포구","2019",13
"마포구","2020",13
"마포구","2021",14
"양천구","2013",8
"양천구","2014",8
"양천구","2015",7
"양천구","2016",8
"양천구","2017",9
"양천구","2018",12
"양천구","2019",12
"양천구","2020",12
"양천구","2021",12
"강서구","2013",12
"강서구","2014",12
"강서구","2015",13
"강서구","2016",14
"강서구","2017",14
"강서구","2018",14
"강서구","2019",14
"강서구","2020",15
"강서구","2021",14
"구로구","2013",13
"구로구","2014",13
"구로구","2015",13
"구로구","2016",13
"구로구","2017",15
"구로구","2018",15
"구로구","2019",15
"구로구","2020",15
"구로구","2021",16
"금천구","2013",6
"금천구","2014",6
"금천구","2015",6
"금천구","2016",6
"금천구","2017",6
"금천구","2018",6
"금천구","2019",7
"금천구","2020",7
"금천구","2021",7
"영등포구","2013",9
"영등포구","2014",9
"영등포구","2015",10
"영등포구","2016",11
"영등포구","2017",11
"영등포구","2018",12
"영등포구","2019",11
"영등포구","2020",11
"영등포구","2021",11
"동작구","2013",6
"동작구","2014",7
"동작구","2015",7
"동작구","2016",7
"동작구","2017",7
"동작구","2018",8
"동작구","2019",8
"동작구","2020",8
"동작구","2021",9
"관악구","2013",10
"관악구","2014",10
"관악구","2015",10
"관악구","2016",10
"관악구","2017",11
"관악구","2018",11
"관악구","2019",11
"관악구","2020",11
"관악구","2021",10
"서초구","2013",14
"서초구","2014",15
"서초구","2015",14
"서초구","2016",14
"서초구","2017",17
"서초구","2018",19
"서초구","2019",19
"서초구","2020",22
"서초구","2021",22
"강남구","2013",24
"강남구","2014",25
"강남구","2015",24
"강남구","2016",25
"강남구","2017",28
"강남구","2018",25
"강남구","2019",26
"강남구","2020",28
"강남구","2021",27
"송파구","2013",14
"송파구","2014",14
"송파구","2015",18
"송파구","2016",19
"송파구","2017",20
"송파구","2018",20
"송파구","2019",21
"송파구","2020",21
"송파구","2021",20
"강동구","2013",9
"강동구","2014",9
"강동구","2015",9
"강동구","2016",9
"강동구","2017",10
"강동구","2018",12
"강동구","2019",12
"강동구","2020",13
"강동구","2021",13
