"행정구역별","시점",데이터
"종로구","2013",6561
"종로구","2014",6233
"종로구","2015",6084
"종로구","2016",5686
"종로구","2017",5561
"종로구","2018",5507
"종로구","2019",5463
"종로구","2020",5192
"종로구","2021",5072
"종로구","2022",4961
"중구","2013",6066
"중구","2014",5854
"중구","2015",5739
"중구","2016",5474
"중구","2017",5283
"중구","2018",5226
"중구","2019",5181
"중구","2020",4990
"중구","2021",4808
"중구","2022",4766
"용산구","2013",8763
"용산구","2014",8529
"용산구","2015",8210
"용산구","2016",7923
"용산구","2017",7624
"용산구","2018",7460
"용산구","2019",7273
"용산구","2020",6870
"용산구","2021",6656
"용산구","2022",6396
"성동구","2013",13713
"성동구","2014",13174
"성동구","2015",12641
"성동구","2016",12352
"성동구","2017",12047
"성동구","2018",11922
"성동구","2019",11789
"성동구","2020",10992
"성동구","2021",10555
"성동구","2022",10408
"광진구","2013",16482
"광진구","2014",16086
"광진구","2015",15760
"광진구","2016",15327
"광진구","2017",15029
"광진구","2018",15016
"광진구","2019",14977
"광진구","2020",14257
"광진구","2021",13742
"광진구","2022",13476
"동대문구","2013",15439
"동대문구","2014",15110
"동대문구","2015",14916
"동대문구","2016",14212
"동대문구","2017",13930
"동대문구","2018",13721
"동대문구","2019",13684
"동대문구","2020",13157
"동대문구","2021",12792
"동대문구","2022",12839
"중랑구","2013",17369
"중랑구","2014",16801
"중랑구","2015",16472
"중랑구","2016",15779
"중랑구","2017",15419
"중랑구","2018",15336
"중랑구","2019",15176
"중랑구","2020",14554
"중랑구","2021",13862
"중랑구","2022",13692
"성북구","2013",24544
"성북구","2014",23948
"성북구","2015",23306
"성북구","2016",22467
"성북구","2017",21897
"성북구","2018",21564
"성북구","2019",21051
"성북구","2020",20086
"성북구","2021",19628
"성북구","2022",19369
"강북구","2013",13005
"강북구","2014",12402
"강북구","2015",11879
"강북구","2016",11225
"강북구","2017",10878
"강북구","2018",10654
"강북구","2019",10392
"강북구","2020",9913
"강북구","2021",9412
"강북구","2022",8895
"도봉구","2013",18763
"도봉구","2014",18014
"도봉구","2015",17408
"도봉구","2016",16760
"도봉구","2017",16242
"도봉구","2018",15962
"도봉구","2019",15561
"도봉구","2020",14540
"도봉구","2021",13952
"도봉구","2022",13533
"노원구","2013",33518
"노원구","2014",31890
"노원구","2015",31048
"노원구","2016",29482
"노원구","2017",28364
"노원구","2018",27558
"노원구","2019",26994
"노원구","2020",25841
"노원구","2021",24692
"노원구","2022",23991
"은평구","2013",25395
"은평구","2014",24688
"은평구","2015",23918
"은평구","2016",23037
"은평구","2017",22409
"은평구","2018",22028
"은평구","2019",21613
"은평구","2020",20400
"은평구","2021",19730
"은평구","2022",19405
"서대문구","2013",14444
"서대문구","2014",13645
"서대문구","2015",13171
"서대문구","2016",13331
"서대문구","2017",13193
"서대문구","2018",13027
"서대문구","2019",12993
"서대문구","2020",12988
"서대문구","2021",12940
"서대문구","2022",12918
"마포구","2013",17375
"마포구","2014",17050
"마포구","2015",17117
"마포구","2016",16361
"마포구","2017",15850
"마포구","2018",15432
"마포구","2019",15272
"마포구","2020",14375
"마포구","2021",13888
"마포구","2022",13750
"양천구","2013",26349
"양천구","2014",25446
"양천구","2015",25237
"양천구","2016",24825
"양천구","2017",24526
"양천구","2018",24481
"양천구","2019",24414
"양천구","2020",23985
"양천구","2021",23469
"양천구","2022",22998
"강서구","2013",28241
"강서구","2014",27387
"강서구","2015",27960
"강서구","2016",27048
